system_code,name,manged_by,category,grades,open_date,address,city,state,zip,principal_name,district_code,pr_overall,progress_grade,performance_grade,env_grade,readiness_grade,2012_grade,2011_grade,2010_grade,,,,,,,,
02M305,"Urban Assembly Academy of Government and Law, The",DOE,High school,"09,10,11,12,SE",Jul 1 2005,350 GRAND STREET,MANHATTAN,NY,10002,DAVID GLASNER,2,C,C,B,C,B,B,B,B,,,,,,,,
02M308,Lower Manhattan Arts Academy,DOE,High school,"09,10,11,12,SE",Jul 1 2005,350 GRAND STREET,MANHATTAN,NY,10002,JOHN WENK,2,,,,,.,C,A,B,,,,,,,,
02M312,New York City Lab Middle School for Collaborative Studies,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 1999,333 WEST 17 STREET,MANHATTAN,NY,10011,MEGAN ADAMS,2,C,C,B,C,C,C,C,B,,,,,,,,
02M313,"James Baldwin School, The: A School for Expeditionary Learning",DOE,High school,"09,10,11,12,SE",Jul 1 2005,351 WEST 18 STREET,MANHATTAN,NY,10011,Brady Smith,2,A,A,A,B,B,B,,,,,,,,,,
02M316,"Urban Assembly School of Business for Young Women, the",DOE,High school,"09,10,11,12,SE",Jul 1 2005,26 BROADWAY,MANHATTAN,NY,10004,PATRICIA MINAYA,2,B,B,B,C,C,,,,,,,,,,,
02M340,Sixth Avenue Elementary School,DOE,Elementary,"0K,01,02,03,04,05",Jul 1 2014,590 SIXTH AVENUE,NEW YORK,NY,10011,Patricia Carney,2,B,C,B,C,A,,,,,,,,,,,
02M343,The Peck Slip School,DOE,Elementary,"PK,0K,01,SE",Jul 1 2012,52 CHAMBERS STREET,MANHATTAN,NY,10007,Maggie Siena,0,.,.,.,.,.,,,,,,,,,,,
02M347,The 47 American Sign Language & English Lower School,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 2005,223 EAST 23 STREET,MANHATTAN,NY,10010,David Bowell,2,C,C,B,D,.,,,,,,,,,,,
02M374,Gramercy Arts High School,DOE,High school,"09,10,11,12,SE",Jul 1 2008,40 IRVING PLACE,MANHATTAN,NY,10003,James Johnson,2,D,D,C,D,B,,,,,,,,,,,
02M376,NYC iSchool,DOE,High school,"09,10,11,12,SE",Jul 1 2008,131 AVENUE OF THE AMERICAS,MANHATTAN,NY,10013,Isora Bailey,2,B,B,B,B,A,B,B,B,,,,,,,,
02M392,MANHATTAN BUSINESS ACADEMY,DOE,High school,"09,10,11,12,SE",Jul 1 2009,351 WEST 18 STREET,MANHATTAN,NY,10011,KAREN POLSONETTI,2,B,C,B,A,.,C,B,C,,,,,,,,
02M393,BUSINESS OF SPORTS SCHOOL,DOE,High school,"09,10,11,12,SE",Jul 1 2009,439 WEST 49TH STREET,MANHATTAN,NY,10019,JOSHUA SOLOMON,2,A,A,A,A,B,A,A,B,,,,,,,,
02M394,EMMA LAZARUS HIGH SCHOOL,DOE,High school,"09,10,11,12",Jul 1 2009,100 HESTER STREET,MANHATTAN,NY,10002,MELODY KELLOGG,2,C,C,A,C,.,B,B,A,,,,,,,,
02M397,SPRUCE STREET SCHOOL,DOE,Early Childhood,"PK,0K,01,02,03,04,SE",Jul 1 2009,12 SPRUCE STREET,MANHATTAN,NY,10018,NANCY HARRIS,2,B,B,A,C,B,B,B,A,,,,,,,,
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,DOE,High school,"09,10,11,12,SE",Jul 1 2009,40 IRVING PLACE,MANHATTAN,NY,10003,Amber Najmi Shadid,2,A,A,A,B,A,A,A,A,,,,,,,,
